Review,Rating,Tanggal,Username,Likes
"tiktok sangat bagus sekali,tapi baru kemarin saya buat tiktok pas mau buat tiktok filter kamboja,burung blu dll tidak bisa muncul di muka/di atas saya sudah update tetap saja masi seperti itu,jadi kalau buat tiktok pake filter cahaya doang tidak ada yang sperti filter dog dll karna tidak muncul di atas kepala atau di muka.tolong perbaiki lagi🙏🙏",5,2025-04-13 21:43:06,Pengguna Google,1502
"Saya ingin memberikan masukan mengenai tombol ""Tidak Suka"" (dislike) yang muncul di bagian kanan layar video. Saya merasa terganggu dengan keberadaan tombol tersebut karena secara tidak sengaja bisa terpencet, dan itu membuat pengalaman menonton saya jadi kurang nyaman. Saya berharap TikTok bisa memberikan opsi untuk menyembunyikan atau menonaktifkan tombol ""Tidak Suka"" di video, atau setidaknya memberikan kontrol bagi pengguna yang tidak ingin fitur tersebut aktif. Terima kasih atas perhatian",5,2025-04-08 12:07:21,Pengguna Google,5131
"selain sering lemot bukan krn jaringan wifi,juga masalah serius setiap kali mau edit video utk buat konten selalu terganggu dgn tulisan "" Tidak ada tanggapan dari Tik Tok "" pilihan nya ada 2: 1.Keluar dari aplikasi 2.Tunggu Tolong lah tik tok,jangan sampai saya dan komunitas saya jadi muak melihat mu",5,2025-04-12 23:20:35,Pengguna Google,2007
"aplikasi nya bagus, dan sangat menyenangkan, tetapi akhir' ini saya memakai aplikasi tersebut selalu ngelag, pas mau di buka udh keluar sendiri, trs kadang juga tidak ada gambar tapi ada lagu, ketika sedang membuat vidio selalu keluar sendiri, mungkin bisa di upgrade ke yg lebih baik dari sebelumnya, terimakasih",5,2025-04-02 22:52:56,Pengguna Google,7630
Tolong kepada pihak tiktok mengapa masih ada satu bug yang saya alami yaitu ketika saya sedang melakukan pencarian video ketika saya memutar video di pencarian tersebut suaranya tidak bisa berhenti terputar padahal saya sudah tidak menonton video tersebut tolong atasi bug ini.,5,2025-04-09 22:25:25,Pengguna Google,2007
"aplikasinya bagus banget bisa mencari tutorial apapun yang ada bisa buat konten yang menarik, memberi tahu trend yang menarik,tapi pas aku mau ngepost Poto itu gk bisa lama banget Tolong di perbaiki lagi ya sama tolong kembalikan fitur foto seperti semula sekian terima kasih maaf kalau ada kesalahan mengetik",5,2025-04-01 18:28:50,Pengguna Google,851
"bagiku tiktok sangat berguna untuk keperluan pribadi yang positif, dan juga bisa membuat konten melalui tiktok, dan tolong kepada tiktok kemarin saya ada bug tiktok khusus pas saya klik keluar dengan sendirinya, tolong kerjasama nya dan tolong perbaiki kesalahan atau bug itu, terimakasih",5,2025-03-28 22:25:00,Pengguna Google,30
"aplikasinya sangat bagus, lengkap dengan subtitle vidionya walaupun ada beberapa vidio yang tidak bisa pakek menggunakan subtitle tapi okelah 👍. ohh iya, kalau bisa di tambahkan penterjemah untuk komentarnya juga, soalnya ada banyak komentar yang bukan bahasa ID sama EN🙏",5,2025-04-01 11:03:13,Pengguna Google,943
"Tiktok akhir akhir ini kalo masuk cuma sampai logo doang dan setelah itu sering membuat HP saya crash/lag lag dan jika mencoba masuk kembalipun sampai matikan daya tetap saja tidak bisa masuk dan membuat HP lag parah main game ke ganggu karena panas yang di timbulkan, dari setahun yang lalu tiktok ngebuat HP saya lag, tolong tiktok perbaiki kinerja aplikasinya atau anda memiliki suatu saran untuk kasus ini saya akan coba, terimakasih. Sudah membaik setelah saya update ke android 12 dari 10",5,2025-01-27 07:36:54,Pengguna Google,54399
"bagus"" aj sii menurutku,bagi yg bilang ada bug gituu pas liat vt"" atau mau foto,mungkin ram penyimpanan kalian yg bermasalah,ntahh ram penyimpanan penuh,atau memang kalo buka itu ngebug,aku juga pernah gitu ngebug pas liat vt"" 2 tahun yg lalu,baru aku hapus tiktoknya terus aku download lagi,ngga ngebug sama sekali,malah lancar"" aja smpe sekarang,tapi ngga tau kalo memang hpnya yg gitu,intinya bagus siii inii sudaa🤩👍",5,2025-03-28 23:31:39,Pengguna Google,3323
"Hp saya vivo y17s 6/128 lancar euyy.. Ga tau yang bermasalah mungkin jaringan bisa jadi.. Tapi selama gua pakai tiktok gak ada kendala..edit video makin lengkap, efek, filter banyak.. Aplikasi yang simple buat scrolling konten menghibur diri dari kekosongan hahaha.. Terus menurut saya fitur lengkap live dan cocok sebagai tempat live di tiktok",5,2025-02-16 22:26:58,Pengguna Google,1985
"tolong kembalikan fitur simpan vid di satu bagian, jgn ada batas menyimpan vid nya. skrg batas menyimpan nya 30. saya jd susah mencari vid yg saya ingin lihat kembali. jdi tolong jgn berbatas lgi untuk menyimpan vid.",5,2025-04-04 13:44:44,Pengguna Google,20
"Sangat bagus dan membantu cuman sayangnya terlalu ketat sedikit sedikit pelanggaran gak seperti aplikasi Facebook ataupun Instagram, tik tok ketat banget. menurut aku kurang relevan, kurang bebas seperti aplikasi Facebook. tolong dibenahi lagi pihak tik tok terimakasih 🙏🙏",5,2025-04-04 01:04:31,Pengguna Google,24
"""Aplikasi yang sangat bermanfaat untuk terhubung dengan teman dan keluarga. Tampilan yang sederhana dan mudah digunakan. Fitur berbagi foto, video, dan status sangat membantu untuk tetap update dengan kabar terbaru. Notifikasi juga cepat dan akurat. Semoga terus ditingkatkan agar makin lancar dan ringan",5,2025-03-25 05:54:42,Pengguna Google,3890
"setahun lebih sy ikut aplikasi Tiktok ini, tidak ada kendala sedikit pun, tp knp akhir akhir ini Tiktok susah di buka, baru buka satu kontek langsung ilang lagi, same sy ganti Wify baru, masih juga susah masuk, kenapa ya kamu tiktok, syng lho klo sy kluar dari mu, karna cukup lumayan yg suka, folower, yg begitu banyaknya, masak di ulang dr nol lagi, ayo dong tiktok perbaiki.",5,2025-02-07 12:46:04,Pengguna Google,10577
"aplikasi ini bagus sih baguss, tapi kenapaa pas aku mau buka kamera tiktok dan mau coba filternya ko jadi ngga bisa? padahal dulunya bisaa lohh,jadi tolong di perbaiki lagi yaa🙏🏻🙏🏻",5,2025-04-12 17:38:56,Pengguna Google,0
"Aplikasi ini sangat bagus, cuma ada kendalanya di akun tiktok saya belum ada tombol live tiktok, dan belum ada gambar yang bisa di kirim dalam komen, dan kadang ngeleg keluar sendiri, terimakasih🙏",5,2025-04-11 18:48:51,Pengguna Google,1
